name,status,ISO,ANSI_letter,ANSI_digit,USPS,USCG,GPO,AP,other,FIPS,
 Guam,Insular area (Territory),"GU
GUM
316
US-GU",GU,66,GU,GU,Guam,,,66, 
 Northern Mariana Islands,Insular area (Commonwealth),"MP
MNP
580
US-MP",MP,69,MP,CM,M.P.,,CNMI[5],69, 
 Puerto Rico,Insular area (Commonwealth),"PR
PRI
630
US-PR",PR,72,PR,PR,P.R.,,,72, 
 U.S. Virgin Islands,Insular area (Territory),"VI
VIR
850
US-VI",VI,78,VI,VI,V.I.,,U.S.V.I.,78,
U.S. Minor Outlying Islands,Insular areas,"UM
UMI
581
US-UM",UM,74,,,,,,,
   Baker Island,   island,UM-81,,81,,,,,XB[6],,
   Howland Island,   island,UM-84,,84,,,,,XH[6],,
   Jarvis Island,   island,UM-86,,86,,,,,XQ[6],,
   Johnston Atoll,   atoll,UM-67,,67,,,,,XU[6],,
   Kingman Reef,   atoll,UM-89,,89,,,,,XM[6],,
   Midway Islands,   atoll,UM-71,,71,,,,,QM[6],,
   Navassa Island,   island,UM-76,,76,,,,,XV[6],,
   Palmyra Atoll[c],   atoll[c],UM-95,,95,,,,,XL[6],,
   Wake Island,   atoll,UM-79,,79,,,,,QW[6],,
 Micronesia,Freely associated state,"FM
FSM
583",FM,64,FM,,,,,64,
 Marshall Islands,Freely associated state,"MH
MHL
584",MH,68,MH,,,,,68,
 Palau,Freely associated state,"PW
PLW
585",PW,70,PW,,,,,70,
U.S. Armed Forces – Americas[d],US military mail code,,,,AA,,,,,,
U.S. Armed Forces – Europe[e],US military mail code,,,,AE,,,,,,
U.S. Armed Forces – Pacific[f],US military mail code,,,,AP,,,,,,
 Northern Mariana Islands,Obsolete postal code[g],,,,CM,,,,,,
Panama Canal Zone,Obsolete postal code,"PZ
PCZ
594",,,CZ,,,,,,
 Nebraska,Obsolete postal code[h],,,,NB,,,,,,
Philippine Islands,Obsolete postal code,"PH
PHL
608[7]",,,PI,,,,,,
Trust Territory of the Pacific Islands,Obsolete postal code,"PC
PCI
582",,,TT,,,,,,
